gene,gene_url,gene_url_lynx,gene_url_ucsc
ALG1,https://www.dbdb.urmc.rochester.edu/genes/ALG1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ALG1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ALG1
ALG12,https://www.dbdb.urmc.rochester.edu/genes/ALG12?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ALG12,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ALG12
ALG13,https://www.dbdb.urmc.rochester.edu/genes/ALG13?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ALG13,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ALG13
ALG3,https://www.dbdb.urmc.rochester.edu/genes/ALG3?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ALG3,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ALG3
ALG6,https://www.dbdb.urmc.rochester.edu/genes/ALG6?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ALG6,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ALG6
AMPD2,https://www.dbdb.urmc.rochester.edu/genes/AMPD2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AMPD2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AMPD2
AMT,https://www.dbdb.urmc.rochester.edu/genes/AMT?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AMT,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AMT
ANKRD11,https://www.dbdb.urmc.rochester.edu/genes/ANKRD11?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ANKRD11,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ANKRD11
AP1S2,https://www.dbdb.urmc.rochester.edu/genes/AP1S2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AP1S2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AP1S2
AP4B1,https://www.dbdb.urmc.rochester.edu/genes/AP4B1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AP4B1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AP4B1
AP4E1,https://www.dbdb.urmc.rochester.edu/genes/AP4E1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AP4E1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AP4E1
AP4M1,https://www.dbdb.urmc.rochester.edu/genes/AP4M1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AP4M1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AP4M1
AP4S1,https://www.dbdb.urmc.rochester.edu/genes/AP4S1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AP4S1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AP4S1
APC2,https://www.dbdb.urmc.rochester.edu/genes/APC2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=APC2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=APC2
ARFGEF2,https://www.dbdb.urmc.rochester.edu/genes/ARFGEF2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ARFGEF2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ARFGEF2
ARHGEF6,https://www.dbdb.urmc.rochester.edu/genes/ARHGEF6?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ARHGEF6,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ARHGEF6
ARHGEF9,https://www.dbdb.urmc.rochester.edu/genes/ARHGEF9?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ARHGEF9,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ARHGEF9
ARID1A,https://www.dbdb.urmc.rochester.edu/genes/ARID1A?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ARID1A,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ARID1A
ARID1B,https://www.dbdb.urmc.rochester.edu/genes/ARID1B?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ARID1B,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ARID1B
ARL13B,https://www.dbdb.urmc.rochester.edu/genes/ARL13B?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ARL13B,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ARL13B
ARL6,https://www.dbdb.urmc.rochester.edu/genes/ARL6?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ARL6,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ARL6
ARNT2,https://www.dbdb.urmc.rochester.edu/genes/ARNT2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ARNT2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ARNT2
ARX,https://www.dbdb.urmc.rochester.edu/genes/ARX?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ARX,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ARX
ASNS,https://www.dbdb.urmc.rochester.edu/genes/ASNS?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ASNS,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ASNS
ASPM,https://www.dbdb.urmc.rochester.edu/genes/ASPM?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ASPM,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ASPM
ASXL3,https://www.dbdb.urmc.rochester.edu/genes/ASXL3?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ASXL3,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ASXL3
ATM,https://www.dbdb.urmc.rochester.edu/genes/ATM?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ATM,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ATM
ATP13A2,https://www.dbdb.urmc.rochester.edu/genes/ATP13A2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ATP13A2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ATP13A2
ATP1A2,https://www.dbdb.urmc.rochester.edu/genes/ATP1A2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ATP1A2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ATP1A2
ATP1A3,https://www.dbdb.urmc.rochester.edu/genes/ATP1A3?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ATP1A3,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ATP1A3
ATP6AP2,https://www.dbdb.urmc.rochester.edu/genes/ATP6AP2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ATP6AP2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ATP6AP2
ATP6V0A2,https://www.dbdb.urmc.rochester.edu/genes/ATP6V0A2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ATP6V0A2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ATP6V0A2
ATP7A,https://www.dbdb.urmc.rochester.edu/genes/ATP7A?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ATP7A,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ATP7A
ATR,https://www.dbdb.urmc.rochester.edu/genes/ATR?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ATR,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ATR
ATRX,https://www.dbdb.urmc.rochester.edu/genes/ATRX?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ATRX,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ATRX
B3GALNT2,https://www.dbdb.urmc.rochester.edu/genes/B3GALNT2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=B3GALNT2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=B3GALNT2
B3GALTL,https://www.dbdb.urmc.rochester.edu/genes/B3GALTL?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=B3GALTL,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=B3GALTL
B3GNT1,https://www.dbdb.urmc.rochester.edu/genes/B3GNT1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=B3GNT1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=B3GNT1
BBS1,https://www.dbdb.urmc.rochester.edu/genes/BBS1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BBS1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BBS1
BBS10,https://www.dbdb.urmc.rochester.edu/genes/BBS10?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BBS10,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BBS10
BBS12,https://www.dbdb.urmc.rochester.edu/genes/BBS12?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BBS12,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BBS12
BBS2,https://www.dbdb.urmc.rochester.edu/genes/BBS2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BBS2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BBS2
BBS4,https://www.dbdb.urmc.rochester.edu/genes/BBS4?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BBS4,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BBS4
BBS5,https://www.dbdb.urmc.rochester.edu/genes/BBS5?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BBS5,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BBS5
BBS7,https://www.dbdb.urmc.rochester.edu/genes/BBS7?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BBS7,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BBS7
BBS9,https://www.dbdb.urmc.rochester.edu/genes/BBS9?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BBS9,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BBS9
BCAP31,https://www.dbdb.urmc.rochester.edu/genes/BCAP31?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BCAP31,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BCAP31
BCOR,https://www.dbdb.urmc.rochester.edu/genes/BCOR?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BCOR,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BCOR
BMP4,https://www.dbdb.urmc.rochester.edu/genes/BMP4?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BMP4,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BMP4
BRAF,https://www.dbdb.urmc.rochester.edu/genes/BRAF?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BRAF,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BRAF
BRAT1,https://www.dbdb.urmc.rochester.edu/genes/BRAT1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BRAT1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BRAT1
BRF1,https://www.dbdb.urmc.rochester.edu/genes/BRF1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BRF1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BRF1
BRWD3,https://www.dbdb.urmc.rochester.edu/genes/BRWD3?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=BRWD3,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=BRWD3
C12orf57,https://www.dbdb.urmc.rochester.edu/genes/C12orf57?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=C12orf57,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=C12orf57
C2orf37,https://www.dbdb.urmc.rochester.edu/genes/C2orf37?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=C2orf37,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=C2orf37
C5orf42,https://www.dbdb.urmc.rochester.edu/genes/C5orf42?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=C5orf42,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=C5orf42
CA8,https://www.dbdb.urmc.rochester.edu/genes/CA8?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CA8,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CA8
CACNA1A,https://www.dbdb.urmc.rochester.edu/genes/CACNA1A?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CACNA1A,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CACNA1A
CACNA1C,https://www.dbdb.urmc.rochester.edu/genes/CACNA1C?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CACNA1C,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CACNA1C
CACNA1D,https://www.dbdb.urmc.rochester.edu/genes/CACNA1D?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CACNA1D,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CACNA1D
CACNA2D2,https://www.dbdb.urmc.rochester.edu/genes/CACNA2D2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CACNA2D2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CACNA2D2
CADPS2,https://www.dbdb.urmc.rochester.edu/genes/CADPS2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CADPS2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CADPS2
CASC5,https://www.dbdb.urmc.rochester.edu/genes/CASC5?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CASC5,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CASC5
CASK,https://www.dbdb.urmc.rochester.edu/genes/CASK?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CASK,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CASK
CC2D1A,https://www.dbdb.urmc.rochester.edu/genes/CC2D1A?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CC2D1A,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CC2D1A
CC2D2A,https://www.dbdb.urmc.rochester.edu/genes/CC2D2A?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CC2D2A,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CC2D2A
CCBE1,https://www.dbdb.urmc.rochester.edu/genes/CCBE1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CCBE1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CCBE1
CCM2,https://www.dbdb.urmc.rochester.edu/genes/CCM2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CCM2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CCM2
CCND2,https://www.dbdb.urmc.rochester.edu/genes/CCND2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CCND2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CCND2
CDC6,https://www.dbdb.urmc.rochester.edu/genes/CDC6?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CDC6,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CDC6
CDH15,https://www.dbdb.urmc.rochester.edu/genes/CDH15?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CDH15,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CDH15
CDK5,https://www.dbdb.urmc.rochester.edu/genes/CDK5?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CDK5,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CDK5
CDK5RAP2,https://www.dbdb.urmc.rochester.edu/genes/CDK5RAP2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CDK5RAP2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CDK5RAP2
CDK6,https://www.dbdb.urmc.rochester.edu/genes/CDK6?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CDK6,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CDK6
CDKL5,https://www.dbdb.urmc.rochester.edu/genes/CDKL5?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CDKL5,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CDKL5
CDKN1C,https://www.dbdb.urmc.rochester.edu/genes/CDKN1C?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CDKN1C,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CDKN1C
CDT1,https://www.dbdb.urmc.rochester.edu/genes/CDT1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CDT1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CDT1
CENPE,https://www.dbdb.urmc.rochester.edu/genes/CENPE?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CENPE,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CENPE
CENPF,https://www.dbdb.urmc.rochester.edu/genes/CENPF?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CENPF,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CENPF
CENPJ,https://www.dbdb.urmc.rochester.edu/genes/CENPJ?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CENPJ,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CENPJ
CEP135,https://www.dbdb.urmc.rochester.edu/genes/CEP135?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CEP135,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CEP135
CEP152,https://www.dbdb.urmc.rochester.edu/genes/CEP152?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CEP152,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CEP152
CEP290,https://www.dbdb.urmc.rochester.edu/genes/CEP290?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CEP290,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CEP290
CEP41,https://www.dbdb.urmc.rochester.edu/genes/CEP41?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CEP41,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CEP41
CEP63,https://www.dbdb.urmc.rochester.edu/genes/CEP63?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CEP63,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CEP63
CHAMP1,https://www.dbdb.urmc.rochester.edu/genes/CHAMP1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CHAMP1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CHAMP1
CHD2,https://www.dbdb.urmc.rochester.edu/genes/CHD2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CHD2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CHD2
CHD7,https://www.dbdb.urmc.rochester.edu/genes/CHD7?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CHD7,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CHD7
CHD8,https://www.dbdb.urmc.rochester.edu/genes/CHD8?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CHD8,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CHD8
CHIP,https://www.dbdb.urmc.rochester.edu/genes/CHIP?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CHIP,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CHIP
CHMP1A,https://www.dbdb.urmc.rochester.edu/genes/CHMP1A?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CHMP1A,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CHMP1A
