phenotype,gene,gene_chromosome,gene_inheritence,syndrome,phenotype_description,phenotype_name,phenotype_url,gene_url,gene_url_lynx,gene_url_ucsc,syndrome_features,syndrome_inheritence,syndrome_name,syndrome_synonyms,syndrome_url
ACC,GCSH,2,AR,NKH,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/GCSH?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=GCSH,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=GCSH,"Lethargy, hypotonia, apnea, intractable seizures (classic neonatal form), later-onset seizures, choreoathetosis, mental retardation, vertical gaze palsy (infant-onset and atypical forms)",AR,Nonketotic hyperglycinemia,Glycine encephalopathy,https://www.dbdb.urmc.rochester.edu/syndromes/NKH?content-type=text/html
ACC,GLDC,2,AR,NKH,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/GLDC?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=GLDC,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=GLDC,"Lethargy, hypotonia, apnea, intractable seizures (classic neonatal form), later-onset seizures, choreoathetosis, mental retardation, vertical gaze palsy (infant-onset and atypical forms)",AR,Nonketotic hyperglycinemia,Glycine encephalopathy,https://www.dbdb.urmc.rochester.edu/syndromes/NKH?content-type=text/html
ACC,GPSM2,2,AR,Chudley_McCullough,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/GPSM2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=GPSM2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=GPSM2,"Sensorineural hearing loss, agenesis of the corpus callosum",AR,Chudley-McCullough syndrome,,https://www.dbdb.urmc.rochester.edu/syndromes/Chudley_McCullough?content-type=text/html
ACC,HCCS,2,XL,MLS,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/HCCS?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=HCCS,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=HCCS,Unilateral or bilateral microophthalmia and/or anophthalmia and linear skin defects,XL,Microphthalmia with linear skin defects syndrome,"Microphthalmia, dermal aplasia, and sclerocornea",https://www.dbdb.urmc.rochester.edu/syndromes/MLS?content-type=text/html
ACC,KAL1,2,XL,Kallmann,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/KAL1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=KAL1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=KAL1,Isolated GnRH deficiency and anosmia.,"XL, AD",Kallmann syndrome,,https://www.dbdb.urmc.rochester.edu/syndromes/Kallmann?content-type=text/html
ACC,KIF5C,3,Postzygotic/Mosaic,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/KIF5C?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=KIF5C,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=KIF5C,,,,,
ACC,KIF7,2,AR,Acrocallosal,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/KIF7?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=KIF7,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=KIF7,"Macrocephaly, hypoplastic midface, dysplastic ears, hypertelorism, down-slanting palpebral fissures, optic/retinal abnormalities, nystagmus, polydactyly (pre- and post-axial), bifid phalanges of thumbs, duplicated halluces, mental retardation, seizures",AR,Acrocallosal syndrome,,https://www.dbdb.urmc.rochester.edu/syndromes/Acrocallosal?content-type=text/html
ACC,L1CAM,1,XL,XLHYD,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/L1CAM?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=L1CAM,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=L1CAM,"Congenital hydrocephalus, agenesis of corpus callosum, intellectual disability, adducted thumbs",XL,X-linked hydrocephalus,L1 syndrome,https://www.dbdb.urmc.rochester.edu/syndromes/XLHYD?content-type=text/html
ACC,L1CAM,1,XL,MASA,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/L1CAM?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=L1CAM,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=L1CAM,"Agenesis of the corpus callosum, intellectual disability, lower extremity spasticity, adducted thumbs",XL,MASA syndrome,"Mental retardation, Aphasia, Spastic paraparesis, Adducted thumbs syndrome",https://www.dbdb.urmc.rochester.edu/syndromes/MASA?content-type=text/html
ACC,LRP2,1,AR,FOARS,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/LRP2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=LRP2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=LRP2,"Craniofacial dysmorphology, ocular abnormalities, hearing loss, agenesis of the corpus callosum, intellectual disability, ophalocele, congenital diaphragmatic hernia",AR,Facio-oculo-acoustico-renal syndrome,Donnai-Barrow syndrome,https://www.dbdb.urmc.rochester.edu/syndromes/FOARS?content-type=text/html
ACC,MED12,1,XL,FG,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/MED12?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=MED12,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=MED12,"Mental retardation, congenital hypotonia, macrocephaly, imperforate anus",XL,FG syndrome,"Opitz-Kaveggia Syndrome, Keller Syndrome",https://www.dbdb.urmc.rochester.edu/syndromes/FG?content-type=text/html
ACC,MID1,2,XL,OpitzG_BBB,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/MID1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=MID1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=MID1,"Intellectual disability, agenesis of the corpus callosum",XL,Opitz G/BBB syndrome,,https://www.dbdb.urmc.rochester.edu/syndromes/OpitzG_BBB?content-type=text/html
ACC,NDE1,2,AR,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/NDE1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=NDE1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=NDE1,,,,,
ACC,NFIA,2,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/NFIA?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=NFIA,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=NFIA,,,,,
ACC,OFD1,1,XL,OFD1,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/OFD1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=OFD1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=OFD1,"Median cleft lip, lobulated tongue, bifid tongue, tongue hamartoma, facial asymmetry, frontal bossing, hypertelorism, abnormalities of fingers and toes (clinodactyly, syndactyly, brachydactyly).",XL,Oro-facial-digital syndrome type 1,Papillon-League-Psaume Syndrome,https://www.dbdb.urmc.rochester.edu/syndromes/OFD1?content-type=text/html
ACC,PAX6,3,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/PAX6?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=PAX6,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=PAX6,,,,,
ACC,PDHB,2,AR,PDH,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/PDHB?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=PDHB,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=PDHB,"Episodic ataxia, hypotonia, lactic acidosis, increased blood and CSF pyruvate, some have facial dysmorphology",XL,Pyruvate dehydrogenase complex deficiency,"Pyruvate decarboxylase deficiency, Pyruvate dehydrogenase E1-Alpha Deficiency, Thiamine-responsive lactic acidosis",https://www.dbdb.urmc.rochester.edu/syndromes/PDH?content-type=text/html
ACC,PPP2R5D,3,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/PPP2R5D?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=PPP2R5D,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=PPP2R5D,,,,,
ACC,PTCH1,2,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/PTCH1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=PTCH1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=PTCH1,,,,,
ACC,RAB3GAP1,3,AR,Warburg_Micro,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/RAB3GAP1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=RAB3GAP1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=RAB3GAP1,"Microcephaly, microphthalmia, microcornea, congenital cataract, mental retardation, hypogenitalism",AR,Warburg Micro syndrome,Micro Syndrome,https://www.dbdb.urmc.rochester.edu/syndromes/Warburg_Micro?content-type=text/html
ACC,RAB3GAP2,3,AR,Warburg_Micro,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/RAB3GAP2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=RAB3GAP2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=RAB3GAP2,"Microcephaly, microphthalmia, microcornea, congenital cataract, mental retardation, hypogenitalism",AR,Warburg Micro syndrome,Micro Syndrome,https://www.dbdb.urmc.rochester.edu/syndromes/Warburg_Micro?content-type=text/html
ACC,RBM10,3,XL,TARP,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/RBM10?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=RBM10,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=RBM10,"Talipes equinovarus, atrial septal defect (ASD), Robin sequence (micrognathia, glossoptosis, and cleft palate), and persistence of the left superior vena cava",XL,TARP syndrome,,https://www.dbdb.urmc.rochester.edu/syndromes/TARP?content-type=text/html
ACC,SLC12A6,1,AR,Andermann,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/SLC12A6?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=SLC12A6,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=SLC12A6,"Elongated facies, facial asymmetry, hypertelorism, protruding tongue, progressive distal and proximal limb weakness with denervation on EMG, mild to severe mental retardation, agenesis of the corpus callosum",AR,Andermann syndrome,"Agenesis of the corpus callosum with peripheral neuropathy, Charlevoix Disease",https://www.dbdb.urmc.rochester.edu/syndromes/Andermann?content-type=text/html
ACC,SPG11,2,AR,SPG11,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/SPG11?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=SPG11,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=SPG11,"Upper motor neuron signs, leg spasticity, onset typically before age 20 years, abnormal (thin) corpus callosum",AR,Spastic paraplegia type 11,"Complicated hereditary spastic paraplegia, with thin corpus callosum",https://www.dbdb.urmc.rochester.edu/syndromes/SPG11?content-type=text/html
ACC,SPOCK1,3,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/SPOCK1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=SPOCK1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=SPOCK1,,,,,
ACC,TBR2,3,AR,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/TBR2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=TBR2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=TBR2,,,,,
ACC,TUBA1A,2,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/TUBA1A?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=TUBA1A,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=TUBA1A,,,,,
ACC,TUBB2B,3,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/TUBB2B?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=TUBB2B,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=TUBB2B,,,,,
ACC,TUBB3,3,AR,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/TUBB3?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=TUBB3,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=TUBB3,,,,,
ACC,TUBB5,3,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/TUBB5?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=TUBB5,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=TUBB5,,,,,
ACC,UPF3B,3,XL,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/UPF3B?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=UPF3B,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=UPF3B,,,,,
ACC,VAX1,3,AR,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/VAX1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=VAX1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=VAX1,,,,,
ACC,WDR4,3,AR,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/WDR4?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=WDR4,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=WDR4,,,,,
ACC,ZEB2,1,AD/de novo,Mowat_Wilson,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/ZEB2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ZEB2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ZEB2,"Microcephaly, mental retardation, cupped ears, hypertelorism, downslanting palprebral fissures, deep-set eyes, prominent nasal tip with long columella, varying absence of the enteric ganglia (Hirschsprung disease)",AD,Mowat-Wilson syndrome,Hirschsprung disease-mental retardation syndrome,https://www.dbdb.urmc.rochester.edu/syndromes/Mowat_Wilson?content-type=text/html
ACC,ZNF238,3,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/ZNF238?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ZNF238,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ZNF238,,,,,
BFPP,GPSM2,2,AR,Chudley_McCullough,Polymicrogyria affecting the frontal and parietal lobes bilaterally,Bilateral frontoparietal polymicrogyria,https://www.dbdb.urmc.rochester.edu/phenotypes/BFPP?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/GPSM2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=GPSM2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=GPSM2,"Sensorineural hearing loss, agenesis of the corpus callosum",AR,Chudley-McCullough syndrome,,https://www.dbdb.urmc.rochester.edu/syndromes/Chudley_McCullough?content-type=text/html
